,vth.gamma.rel_power,vth.beta.rel_power,vth.alpha.rel_power,vth.theta.rel_power,vsn.gamma.rel_power,vsn.beta.rel_power,vsn.alpha.rel_power,vsn.theta.rel_power,vge.gamma.rel_power,vge.beta.rel_power,vge.alpha.rel_power,vge.theta.rel_power,vgi.gamma.rel_power,vgi.beta.rel_power,vgi.alpha.rel_power,vgi.theta.rel_power,vth.vsn.gamma.avg_coherence,vth.vsn.beta.avg_coherence,vth.vsn.alpha.avg_coherence,vth.vsn.theta.avg_coherence,vth.vge.gamma.avg_coherence,vth.vge.beta.avg_coherence,vth.vge.alpha.avg_coherence,vth.vge.theta.avg_coherence,vth.vgi.gamma.avg_coherence,vth.vgi.beta.avg_coherence,vth.vgi.alpha.avg_coherence,vth.vgi.theta.avg_coherence,vsn.vge.gamma.avg_coherence,vsn.vge.beta.avg_coherence,vsn.vge.alpha.avg_coherence,vsn.vge.theta.avg_coherence,vsn.vgi.gamma.avg_coherence,vsn.vgi.beta.avg_coherence,vsn.vgi.alpha.avg_coherence,vsn.vgi.theta.avg_coherence,vge.vgi.gamma.avg_coherence,vge.vgi.beta.avg_coherence,vge.vgi.alpha.avg_coherence,vge.vgi.theta.avg_coherence,time_ms
0,0.8114520992334942,0.1759644006145574,0.010531324610462502,0.002052175541485934,0.631544130210349,0.13904299688212327,0.18985097567541193,0.03956189723211578,0.9624680262273587,0.01874184503210974,0.009774767346690447,0.009015361393841152,0.9685728650889902,0.014799436859994878,0.009882699277390113,0.006744998773624877,0.30089106872408483,0.33684593624546477,0.2591661978272203,0.21978453616355315,0.3266204281552283,0.3599541649674343,0.13461577166969232,0.17913827895777126,0.33867769544449566,0.32231806962791965,0.19043695647576603,0.26479104832727324,0.40961691895003205,0.3953950592868198,0.3662376119773339,0.6392771388542741,0.35713914357740817,0.31832826054924357,0.2669890672897232,0.7222694644738821,0.5019751018708629,0.6036833098325625,0.6882983107338602,0.6424026061532965,0.0
1,0.8114614550135412,0.1759515828216713,0.010535732336542583,0.002051229828244852,0.6315288416965514,0.13908169759365907,0.18982785352126647,0.039561607188523175,0.9624807683261898,0.018736075242879666,0.009769620804488831,0.009013535626441744,0.9685868668379222,0.014791987620266995,0.009879088382725072,0.006742057159085681,0.3009971632285713,0.33657250614725953,0.25939233862176403,0.2200700756931698,0.3266615060586652,0.36006970294302787,0.13462882858986946,0.17914409082794489,0.3386082286219769,0.3224217431548654,0.19043637049128587,0.2648618614871831,0.40971646785944493,0.39530259457476297,0.36644418583067967,0.6393507088917433,0.357085674657493,0.31828619686300197,0.2672765025988971,0.7223628207906965,0.5020514399423888,0.6034406367330605,0.6882894258477336,0.6425358193007341,0.3
2,0.8114683109228628,0.17594226204631291,0.010539250410257911,0.0020501766205666154,0.6315406019741789,0.13909653877054923,0.18979707634368015,0.03956578291159168,0.9624897906468804,0.018729586333915194,0.009765754207571397,0.009014868811632893,0.9685935190552953,0.01478964417439857,0.00987639001172259,0.006740446758583518,0.3010821247883889,0.33625659443741884,0.2595463953050177,0.2203284277701759,0.3266778268287766,0.36025797924029085,0.13458982725030083,0.17907067507920787,0.33855436800761174,0.3225018984265347,0.19040042360124448,0.2649914915244752,0.4098288778693397,0.39506498172800786,0.3665817700745054,0.6392693555370311,0.35701964060541375,0.31826634695737704,0.2675715821883441,0.7224453119915236,0.5021477547880211,0.603340462182212,0.6883363635998092,0.642786872345456,0.6
3,0.8114778486426134,0.17592948896190336,0.010543447814001686,0.002049214581481465,0.6315259483454071,0.1391426636859221,0.18976342271277954,0.03956796525589136,0.9625062160518346,0.018722958833900863,0.009759751839797857,0.009011073274466666,0.9686044650173167,0.014782821348514734,0.00987466250088571,0.0067380511332829135,0.30116893792790306,0.33596090448183813,0.2596663947524343,0.2206068727347934,0.32674682655507453,0.3603568934502302,0.13455917629915656,0.17903236737849657,0.33849518229596726,0.3225324797755786,0.19038482875613508,0.2650282779272769,0.40991491571013305,0.3948857640733469,0.36686266709333426,0.639246968739444,0.3569657527266399,0.3181520751491978,0.26786424299121636,0.7225563132639172,0.5022485621900704,0.6032040473035121,0.6883518821885322,0.6428183667065828,0.8999999999999999
4,0.8114867236986177,0.17591808526002417,0.010547031913703217,0.0020481591276550904,0.6315327946366147,0.13918346373501642,0.18971717148000317,0.0395665701483656,0.9625282634723019,0.018710855512172397,0.009754441289099965,0.009006439726425643,0.9686205625849481,0.014774201152154949,0.00987148160235279,0.00673375466054439,0.30123349477359024,0.33562332731107236,0.25983469186437796,0.22073037454196318,0.32678152153604806,0.36041644092640807,0.13451711689389176,0.17900007504816318,0.3384243131559172,0.32258317534006326,0.19030425729858771,0.26507465887098147,0.41002880998306607,0.3947668369754765,0.3669819986797732,0.6390561979286538,0.35685540818575634,0.31805765150796794,0.2681564955529419,0.7225770149335365,0.5023157220435187,0.6030431388788592,0.6883979556239223,0.6429492014183049,1.2
5,0.8114978087477867,0.17590427167260655,0.010551039171632283,0.0020468804079744217,0.6315059478653837,0.13922196775895238,0.189714184295723,0.039557900079940894,0.9625499039549192,0.01870306608959791,0.009745175735404076,0.009001854220078648,0.9686325366324338,0.01476999287864173,0.009867726327162478,0.006729744161761915,0.30134089373124673,0.3354689798204573,0.2599979781629526,0.22102640902536966,0.32684837262306005,0.3604787652795864,0.13451085653545755,0.1791070916582102,0.3383852845939654,0.32251718151613057,0.19025889259501963,0.2650435607437728,0.4101127185517218,0.3945221007830025,0.36719041631559174,0.6390468674546483,0.3567834023967346,0.3179867270540449,0.2683172961763596,0.7226170045469286,0.502438487750612,0.6029535931739575,0.6884528062898032,0.6430711054276561,1.5
6,0.811508381213706,0.1758912438248765,0.010554655634888388,0.002045719326529059,0.6314922391920033,0.13926557656846175,0.18967913799938296,0.03956304624015221,0.9625694492498774,0.018693232594391197,0.00974107737837103,0.008996240777360448,0.9686463156100446,0.014764689773199842,0.009863575225618107,0.006725419391137606,0.3014136511221772,0.33514057713420753,0.2601320695400472,0.221328284293948,0.32689116173533195,0.3605379416866139,0.1345173655409096,0.1790926096956012,0.3383198745029509,0.3225760289059693,0.19025765910680953,0.26522719059136296,0.41021365574700913,0.3943528563098122,0.36744357290478435,0.6390657585797632,0.3566714509480037,0.3178873640191655,0.26859331102349,0.7226849438757019,0.5025054579205219,0.6029047880257092,0.688481818706635,0.6432216017402611,1.7999999999999998
7,0.8115145738983895,0.175880873884859,0.010559638622550351,0.0020449135942011087,0.6315090716182403,0.1393067250560647,0.18962678530845414,0.03955741801724106,0.9625833587851405,0.018686766684277874,0.00973416021814096,0.008995714312440537,0.9686630993762146,0.014755227738221827,0.009860562614060238,0.006721110271503226,0.3015058494460832,0.3348734807805476,0.26029859004406714,0.22154554293330544,0.3269341099849498,0.3606544262761021,0.13450351716875605,0.17911049823177633,0.33826492738221,0.32256581771249326,0.1901757244419411,0.26520090645017785,0.410308339179302,0.39415088462596365,0.3675800254517198,0.6390458449606771,0.3565607040938415,0.31774946175901375,0.26880858055002954,0.7227737116720734,0.5026064712328515,0.6027528699575351,0.6885239419009981,0.6433150215536781,2.1
8,0.8115281350469562,0.17586500777307454,0.010562939081930347,0.002043918098039047,0.6315075818314014,0.13934126149328308,0.18959102267735825,0.0395601339979573,0.9625968363278389,0.01867981235882259,0.009729256024432966,0.00899409528890556,0.9686710460287966,0.014751824263593057,0.009859350227672911,0.006717779479937282,0.3015676260813605,0.33453585799498525,0.2603751878966666,0.22182478973195102,0.32698407818998504,0.36078649149367903,0.13445746593058924,0.1791314872655245,0.33820551703166707,0.3225902896873836,0.19010902566657661,0.2653429884326349,0.41037685282964254,0.39405180894072717,0.367816684203552,0.6390300260315529,0.35646327331762667,0.31771037025573934,0.26906979710677936,0.7227807847090213,0.5026978570585585,0.6025950262251049,0.6885750780428085,0.6435235822411236,2.4
9,0.8115338011908445,0.17585669379921598,0.010566837805908808,0.0020426672040304242,0.6314884379199357,0.13937034476716736,0.1895844258897132,0.039556791423183586,0.9626176471949613,0.01866852020557786,0.0097244348530712,0.008989397746389571,0.9686827983202384,0.014746039690195925,0.009855601023640624,0.006715560965924841,0.3016761217834669,0.33428505951652276,0.2605402826592697,0.2221090111880387,0.3270394303772493,0.3608047467582926,0.13446528958983534,0.17911250155204939,0.338134162941436,0.3226053130150004,0.19015045819262077,0.2652384627214028,0.41048248982792934,0.3938316740582343,0.3679308959354119,0.638830696841447,0.3563903193700576,0.3176242482193931,0.269334818263997,0.7229513676078506,0.5027787104490766,0.6025050892393458,0.6885931554459266,0.643603101358141,2.6999999999999997
